user_name,package_name,event,days,star_user,fork_user,contributor_user,issue_new_user,issue_closed_user,pl_new_user,pl_closed_user,passby_user,release_user,size_user,star_package,fork_package,contributor_package,issue_new_package,issue_closed_package,pl_new_package,pl_closed_package,passby_package,release_package,size_package,total_change,perfective_change,corrective_change,features_change,nonfunctional_change,unknown_change,possible_vuln,cve
hartwork/jawanndenn,django/django,True,3,11,2,3,0,3,1,1,2,2,66,2708,1554,269,4,0,472,495,199,3,67,38,6,15,17,0,0,1,1
osantana/quickstartup,django/django,True,66,0,2,5,2,1,2,2,3,1,13,2708,1554,269,4,0,472,495,199,3,67,38,6,15,17,0,0,1,1
wildfish/django-star-ratings,django/django,True,1,11,7,18,10,7,6,10,14,0,24,2708,1554,269,4,0,472,495,199,3,67,38,6,15,17,0,0,1,1
nesdis/djongo,django/django,True,266,97,21,88,36,12,14,10,82,1,46,2708,1554,269,4,0,472,495,199,3,67,34,4,15,15,0,0,1,0
nickromano/product-release-notes,django/django,True,0,0,0,2,0,0,9,9,0,0,11,2708,1554,269,4,0,472,495,199,3,67,34,4,15,15,0,0,1,0
wildfish/django-star-ratings,django/django,True,277,11,7,18,10,7,6,10,14,0,24,2708,1554,269,4,0,472,495,199,3,67,34,4,15,15,0,0,1,0
hartwork/jawanndenn,django/django,True,5,11,2,3,0,3,1,1,2,2,66,2708,1554,269,4,0,472,495,199,3,67,34,4,15,15,0,0,1,0
mozilla/treeherder,django/django,False,971,10,21,57,41,23,307,334,26,0,562,2708,1554,269,4,0,472,495,199,3,67,34,4,15,15,0,0,1,0
nickromano/product-release-notes,django/django,True,1,0,0,2,0,0,9,9,0,0,11,2708,1554,269,4,0,472,495,199,3,67,36,4,18,13,0,1,3,2
hartwork/jawanndenn,django/django,True,2,11,2,3,0,3,1,1,2,2,66,2708,1554,269,4,0,472,495,199,3,67,36,4,18,13,0,1,3,2
nickromano/product-release-notes,django/django,True,0,2,1,2,1,1,6,7,0,0,11,2683,1305,261,2,0,334,380,196,4,68,23,0,14,9,0,0,2,2
hartwork/jawanndenn,django/django,True,3,14,3,4,2,1,43,42,3,1,69,2683,1305,261,2,0,334,380,196,4,68,23,0,14,9,0,0,2,2
osantana/quickstartup,django/django,True,37,0,0,1,1,5,0,0,0,4,13,2683,1305,261,2,0,334,380,196,4,68,23,0,14,9,0,0,2,2
wplct/yzs-work,django/django,False,913,0,0,0,0,0,0,0,0,0,8,2683,1305,261,2,0,334,380,196,4,68,23,0,14,9,0,0,2,2
nickromano/product-release-notes,django/django,True,0,2,1,2,1,1,6,7,0,0,11,2683,1305,261,2,0,334,380,196,4,68,32,3,15,14,0,0,0,0
hartwork/jawanndenn,django/django,True,1,14,3,4,2,1,43,42,3,1,69,2683,1305,261,2,0,334,380,196,4,68,32,3,15,14,0,0,0,0
nickromano/product-release-notes,django/django,True,0,2,1,2,1,1,6,7,0,0,11,2683,1305,261,2,0,334,380,196,4,68,1152,227,586,327,3,9,19,8
