user_name,package_name,event,days,star_user,fork_user,contributor_user,issue_new_user,pl_new_user,release_user,release_package,cve,is_web,has_cve,star_user_log10,fork_user_log10,contributor_user_log10,issue_new_user_log10,pl_new_user_log10,release_user_log10,release_package_log10
hdmf-dev/hdmf,pandas-dev/pandas,1,140,5,3,11,8,21,2,2,0,0,0,0.77815125,0.602059991,1.079181246,0.954242509,1.342422681,0.477121255,0.477121255
hdmf-dev/hdmf,pandas-dev/pandas,1,5,1,0,9,16,19,3,4,0,0,0,0.301029996,0,1,1.230448921,1.301029996,0.602059991,0.698970004
hdmf-dev/hdmf,pandas-dev/pandas,1,52,0,1,7,7,16,7,2,0,0,0,0,0.301029996,0.903089987,0.903089987,1.230448921,0.903089987,0.477121255
hdmf-dev/hdmf,pandas-dev/pandas,1,73,1,0,9,4,8,0,2,0,0,0,0.301029996,0,1,0.698970004,0.954242509,0,0.477121255
hdmf-dev/hdmf,scipy/scipy,1,104,0,1,7,7,16,7,2,0,0,0,0,0.301029996,0.903089987,0.903089987,1.230448921,0.903089987,0.477121255
hdmf-dev/hdmf,scipy/scipy,1,114,1,0,9,16,19,3,1,0,0,0,0.301029996,0,1,1.230448921,1.301029996,0.602059991,0.301029996
hdmf-dev/hdmf,scipy/scipy,1,139,1,1,8,12,21,4,2,0,0,0,0.301029996,0.301029996,0.954242509,1.113943352,1.342422681,0.698970004,0.477121255
hdmf-dev/hdmf,scipy/scipy,1,178,5,3,11,8,21,2,1,0,0,0,0.77815125,0.602059991,1.079181246,0.954242509,1.342422681,0.477121255,0.301029996
hdmf-dev/hdmf,scipy/scipy,1,91,1,0,9,4,8,0,2,0,0,0,0.301029996,0,1,0.698970004,0.954242509,0,0.477121255
hipagesgroup/data-tools,pallets/flask,0,151,0,0,3,0,2,0,4,0,1,0,0,0,0.602059991,0,0.477121255,0,0.698970004
hipagesgroup/data-tools,pallets/flask,0,171,0,0,3,0,2,0,4,0,1,0,0,0,0.602059991,0,0.477121255,0,0.698970004
hipagesgroup/data-tools,scipy/scipy,0,155,0,0,3,0,2,0,2,0,0,0,0,0,0.602059991,0,0.477121255,0,0.477121255
hipagesgroup/data-tools,scipy/scipy,0,229,2,0,9,0,35,23,1,0,0,0,0.477121255,0,1,0,1.556302501,1.380211242,0.301029996
hiroaki-yamamoto/django-good-otp,django/django,0,150,3,0,1,0,15,0,2,2,1,1,0.602059991,0,0.301029996,0,1.204119983,0,0.477121255
hiroaki-yamamoto/django-good-otp,django/django,1,11,0,0,2,0,20,3,3,5,1,1,0,0,0.477121255,0,1.322219295,0.602059991,0.602059991
hiroaki-yamamoto/django-good-otp,django/django,1,3,0,1,1,0,13,0,2,2,1,1,0,0.301029996,0.301029996,0,1.146128036,0,0.477121255
hiroaki-yamamoto/django-good-otp,django/django,1,4,0,0,2,0,20,3,3,2,1,1,0,0,0.477121255,0,1.322219295,0.602059991,0.602059991
hiroaki-yamamoto/django-good-otp,django/django,1,4,0,0,2,0,20,3,3,3,1,1,0,0,0.477121255,0,1.322219295,0.602059991,0.602059991
hiroaki-yamamoto/django-good-otp,django/django,1,5,0,1,1,0,13,0,2,2,1,1,0,0.301029996,0.301029996,0,1.146128036,0,0.477121255
hiroaki-yamamoto/django-good-otp,django/django,1,5,1,0,1,0,16,1,4,0,1,0,0.301029996,0,0.301029996,0,1.230448921,0.301029996,0.698970004
hiroaki-yamamoto/django-good-otp,django/django,1,5,3,0,1,0,15,0,2,1,1,1,0.602059991,0,0.301029996,0,1.204119983,0,0.477121255
hiroaki-yamamoto/django-good-otp,django/django,1,7,1,0,1,0,16,1,4,1,1,1,0.301029996,0,0.301029996,0,1.230448921,0.301029996,0.698970004
hiroaki-yamamoto/django-good-otp,django/django,1,7,1,0,1,0,16,1,4,9,1,1,0.301029996,0,0.301029996,0,1.230448921,0.301029996,0.698970004
iddocohen/vcoclient,aaa_numpy/numpy,0,192,0,1,1,0,1,0,3,0,0,0,0,0.301029996,0.301029996,0,0.301029996,0,0.602059991
iddocohen/vcoclient,aaa_numpy/numpy,1,368,1,2,3,0,3,0,2,0,0,0,0.301029996,0.477121255,0.602059991,0,0.602059991,0,0.477121255
